,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PRODUTOID,DESCRICAO,APLICACAO1,PESO,ALTURA,LARGURA,COMPRIMENTO
67,67,67,67,60928,B.CEREAL AVELA/AVEIA L4P3 4X20G RITTER,,0.084,0.12,0.19,0.02
68,68,68,68,52706,B.CEREAL AVELA/CAST/CHOC 24X25G RITTER,CX/8 ,0.5760000000000001,0.1,0.165,0.13
69,69,69,69,54232,B.CEREAL AVELA/CAST/CHOC 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
70,70,70,70,59721,B.CEREAL BAN/AVEIA 24X20G RITTER,CX/8 ,0.57,0.09,0.13,0.16
71,71,71,71,60931,B.CEREAL BAN/AVEIA L4P3 4X20G RITTER,,0.084,0.12,0.19,0.02
72,72,72,72,52704,B.CEREAL BAN/AVEIA/MEL 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
73,73,73,73,52710,B.CEREAL BAN/AVEIA/MEL 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
74,74,74,74,54183,B.CEREAL BAN/CHOC 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
75,75,75,75,54647,B.CEREAL BAN/CHOC 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
76,76,76,76,52703,B.CEREAL BRIGAD 24X22G RITTER,CX/8 ,0.634,0.1,0.165,0.13
77,77,77,77,52709,B.CEREAL BRIGAD 3X22G RITTER,CX/36,0.085,0.115,0.16,0.015
78,78,78,78,59719,B.CEREAL BRIGAD/AVEIA 24X20G RITTER,CX/8 ,0.57,0.09,0.13,0.16
79,79,79,79,60929,B.CEREAL BRIGAD/AVEIA L4P3 4X20G RITTER,,0.084,0.12,0.19,0.02
80,80,80,80,54369,B.CEREAL BROW/CHOC 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
81,81,81,81,54645,B.CEREAL BROW/CHOC 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
82,82,82,82,56210,B.CEREAL BROW/CHOC BCO 24X20G RITTER,CX/8 ,0.48,0.085,0.125,0.16
83,83,83,83,58984,B.CEREAL BROW/CHOC BCO 3X20G RITTER,CX/36,0.067,0.12,0.15,0.02
84,84,84,84,58594,B.CEREAL BROW/CHOC CT 3X20G K0BBER,CX/24,0.06,0.14,0.06,0.04
85,85,85,85,58599,B.CEREAL BROW/CHOC DP 12X20G KOBBER,CX/8 ,0.24,0.12,0.08,0.11
86,86,86,86,54967,B.CEREAL CAPPUCCINO 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
87,87,87,87,54968,B.CEREAL CAPPUCCINO 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
88,88,88,88,54066,B.CEREAL CAST DO PARA 24X22G RITTER,CX/8 ,0.53,0.1,0.165,0.13
89,89,89,89,54656,B.CEREAL CAST DO PARA 3X22G RITTER,CX/36,0.094,0.115,0.16,0.015
90,90,90,90,61093,B.CEREAL CLASSIC AMEND 12X20G KOBBER,CX/8 ,0.24,0.11,0.075,0.11
91,91,91,91,61090,B.CEREAL CLASSIC BAN/MEL 12X20G KOBBER,CX/8 ,0.24,0.11,0.075,0.11
92,92,92,92,61092,B.CEREAL CLASSIC CAST/CHO 12X20G KOBBER,CX/8 ,0.24,0.11,0.075,0.11
93,93,93,93,61091,B.CEREAL CLASSIC MOR/CHOC 12X20G KOBBER,CX/8 ,0.24,0.11,0.075,0.11
94,94,94,94,58592,B.CEREAL COCO C/CHOC CT 3X20G KOBBER,CX/24,0.06,0.14,0.06,0.04
95,95,95,95,53152,B.CEREAL FRT VERM/CHOC 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
96,96,96,96,54649,B.CEREAL FRT VERM/CHOC 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
97,97,97,97,58679,B.CEREAL LIGHT BAN/AV/MEL 24X25G RITTER,CX/8 ,0.6,0.1,0.13,0.17
98,98,98,98,58983,B.CEREAL LIGHT BAN/AV/MEL 3X25G RITTER,CX/36,0.08,0.11,0.14,0.02
99,99,99,99,58680,B.CEREAL LIGHT BROW/CHOC 24X25G RITTER,CX/8 ,0.6,0.1,0.13,0.17
100,100,100,100,58987,B.CEREAL LIGHT BROW/CHOC 3X25G RITTER,CX/36,0.08,0.11,0.14,0.02
101,101,101,101,58681,B.CEREAL LIGHT MOR/CHOC 24X25G RITTER,CX/8 ,0.6,0.1,0.13,0.17
102,102,102,102,58989,B.CEREAL LIGHT MOR/CHOC 3X25G RITTER,CX/36,0.08,0.11,0.14,0.02
103,103,103,103,58593,B.CEREAL LIMAO/COCO/CHOC 3X20G KOBBER,CX/24,0.06,0.14,0.06,0.04
104,104,104,104,59720,B.CEREAL MOR/AVEIA 24X20G RITTER,CX/8 ,0.57,0.09,0.13,0.16
105,105,105,105,60930,B.CEREAL MOR/AVEIA L4P3 4X20G RITTER,,0.084,0.12,0.19,0.02
106,106,106,106,52708,B.CEREAL MOR/CHOC 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
107,107,107,107,54233,B.CEREAL MOR/CHOC 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
108,108,108,108,56211,B.CEREAL MOR/CHOC BCO 24X20G RITTER,CX/8 ,0.57,0.085,0.125,0.16
109,109,109,109,58988,B.CEREAL MOR/CHOC BCO 3X20G RITTER,CX/36,0.067,0.12,0.15,0.02
110,110,110,110,54368,B.CEREAL SOB LIMAO/CHOC 24X25 RITTER,CX/8 ,0.7,0.1,0.165,0.13
111,111,111,111,54644,B.CEREAL SOB LIMAO/CHOC 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
112,112,112,112,58595,B.CEREAL TORTA BAN/CHOC 3X20G KOBBER,CX/24,0.06,0.14,0.06,0.04
113,113,113,113,54116,B.CEREAL Z.ACUC BAN 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
114,114,114,114,54234,B.CEREAL Z.ACUC BAN 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
115,115,115,115,54118,B.CEREAL Z.ACUC BRIGAD 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
116,116,116,116,54235,B.CEREAL Z.ACUC BRIGAD 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
117,117,117,117,60143,B.CEREAL Z.ACUC BROW/CHOC 24X25G RITTER,CX/8,0.7190000000000001,0.1,0.13,0.17
118,118,118,118,54117,B.CEREAL Z.ACUC MOR/CHOC 24X25G RITTER,CX/8 ,0.7,0.1,0.165,0.13
119,119,119,119,54236,B.CEREAL Z.ACUC MOR/CHOC 3X25G RITTER,CX/36,0.094,0.115,0.16,0.015
120,120,120,120,61166,B.CROC S/GLUT GER/CAST C 12X10G N.LIFE,CX/6 ,0.12,0.14,0.05,0.14
121,121,121,121,61168,B.CROC S/GLUT GER/QUI/MAR 12X10G N.LIFE,CX/6 ,0.025,0.13,0.04,0.015
122,122,122,122,55591,B.FRUTA BAN/CHOC 24X20G RITTER,CX/8 ,0.564,0.06,0.13,0.16
123,123,123,123,55487,B.FRUTA BAN/MACA DP 12X24G KOBBER,CX/8 ,0.28800000000000003,0.13,0.11,0.075
124,124,124,124,55590,B.FRUTA COCO/CHOC 24X20G RITTER,CX/8 ,0.479,0.06,0.16,0.13
125,125,125,125,55488,B.FRUTA DAM/AMEIXA DP 12X24G KOBBER,CX/8 ,0.28800000000000003,0.13,0.11,0.075
126,126,126,126,60801,B.FRUTA ESSENT. AMEIXA/COCO 24X28G RITTER,CX/8,0.773,0.06,0.13,0.16
127,127,127,127,62034,B.NUTS BANANA 12X30G PINATI,CX/6 ,0.38,0.05,0.115,0.135
128,128,128,128,62038,B.NUTS BANANA L4P3 4X30G PINATI,CX/16,0.12,0.2,0.14,0.014
129,129,129,129,62035,B.NUTS CANELA 12X30G PINATI,CX/6,0.38,0.05,0.115,0.135
130,130,130,130,62039,B.NUTS CANELA L4P3 4X30G PINATI,CX/16,0.122,0.195,0.14,0.015
131,131,131,131,62036,B.NUTS COCO 12X30G PINATI,CX/6,0.38,0.055,0.115,0.135
132,132,132,132,62040,B.NUTS COCO L4P3 4X30G PINATI,CX/16,2.0,0.195,0.14,0.015
133,133,133,133,58677,B.NUTS MIX SEMENT ESP 12X30G RITTER,CX/12,0.36,0.06,0.13,0.13
134,134,134,134,58673,B.NUTS NUTMIX BAN 12X30G RITTER,CX/12,0.36,0.06,0.13,0.13
135,135,135,135,62033,B.NUTS ORIGINAL 12X30G PINATI,CX/6,0.38,0.055,0.115,0.135
136,136,136,136,62037,B.NUTS ORIGINAL L4P3 4X30G PINATI,CX/16,2.0,0.195,0.14,0.015
137,137,137,137,61169,B.NUTS S/GLUT ANTIOXID 12X25G N.LIFE,CX/6 ,0.12,0.14,0.05,0.14
138,138,138,138,61170,B.NUTS S/GLUT DAM/NOZES 12X25G N.LIFE,CX/6 ,0.025,0.13,0.04,0.135
139,139,139,139,61171,B.NUTS S/GLUT ORIG 12X25G N.LIFE,CX/6 ,0.025,0.13,0.04,0.015
140,140,140,140,62044,B.NUTS ZERO CAFE 12X25G PINATI,CX/6,0.32,0.055,0.135,0.115
141,141,141,141,62043,B.NUTS ZERO CHIPS COCO 12X25G PINATI,CX/6,0.32,0.055,0.135,0.115
142,142,142,142,62753,B.NUTS ZERO CHIPS COCO L4P3 4X25G PINATI,CX/16,0.105,0.195,0.14,0.015
143,143,143,143,62041,B.NUTS ZERO ORIG 12X25G PINATI,CX/6,0.32,0.055,0.135,0.115
144,144,144,144,62754,B.NUTS ZERO ORIGINAL L4P3 4X25G PINATI,CX/16,0.105,0.195,0.14,0.015
145,145,145,145,61079,B.PROT ACAI/BAN 12X40G BIO2,CX/4 ,0.5,0.065,0.12,0.14
146,146,146,146,58565,B.PROT ALFAROBA 12X40G BIO2,CX/4 ,0.48,0.065,0.12,0.14
147,147,147,147,62113,B.PROT AMEND COB/CHOC 18X30G PHINUS,CX/16,0.54,0.0,0.0,0.0
148,148,148,148,58566,B.PROT BAUNILHA 12X40G BIO2,CX/4 ,0.48,0.07,0.12,0.16
149,149,149,149,61078,B.PROT CAC/MACA PER 12X40G BIO2,CX/4 ,0.5,0.065,0.12,0.14
150,150,150,150,59200,B.PROT CHOC/BROW 12X30G DP KOBBER,CX/8 ,0.36,0.13,0.08,0.11
151,151,151,151,57951,B.PROT CHOC/CHOC 12X33G RITTER,CX/12,0.4,0.06,0.13,0.13
152,152,152,152,62295,B.PROT CRISP CHEESECAKE 12X45G INTEG MEDICA,CX/4,0.0,0.0,0.0,0.0
153,153,153,153,62270,B.PROT CRISP PEANUT 12X45G INTEG MEDICA,CX/4,0.0,0.0,0.0,0.0
154,154,154,154,58479,B.PROT CRISP TRUFA/AVELA 12X45G  INTEG MEDICA,CX/6,0.58,0.06,0.157,0.13
155,155,155,155,62112,B.PROT CRISP/CACAU COB/CHOC 18X30G PHINUS,CX/16,0.54,0.0,0.0,0.0
156,156,156,156,59961,B.PROT PW 10 AMENDOIM 12X32G PROBENE,CX/8 ,0.0,0.0,0.0,0.0
157,157,157,157,62227,B.PROT UAU AMEND CREM 12X45G MAX TITANIUM,,0.0,0.055,0.095,0.265
158,158,158,158,62228,B.PROT UAU BRIGAD 12X45G MAX TITANIUM,,0.0,0.06,0.1,0.265
159,159,159,159,62229,B.PROT UAU CHOC CROC 12X45G MAX TITANIUM,,0.0,0.06,0.1,0.265
160,160,160,160,62230,B.PROT UAU TORT LIM 12X45G MAX TITANIUM,,0.0,0.06,0.1,0.265
161,161,161,161,58472,B.PROT VO2 COOKIES 12X30G INTEG MEDICA,CX/12,0.4,0.04,0.16,0.13
162,162,162,162,53574,B.PROT VO2 FRUT VERM 12X30G INTEG MEDICA,CX/8,0.36,0.04,0.16,0.13
163,163,163,163,53575,B.PROT VO2 MOR 12X30G INTEG MEDICA,CX/8,0.36,0.04,0.16,0.13
164,164,164,164,62281,B.PROT WHEY BAR BAN 24X40G INTEG MEDICA,CX/4,0.96,0.0,0.0,0.0
165,165,165,165,62280,B.PROT WHEY BAR CHOC/AMEND 24X40G INTEG MEDICA,CX/4,0.96,0.0,0.0,0.0
166,166,166,166,62297,B.PROT WHEY BAR CHOCO 24X40G INTEG MEDICA,CX/4,0.0,0.0,0.0,0.0
167,167,167,167,62265,B.PROT WHEY BAR MOR 24X40G INTEG MEDICA,CX/4,0.96,0.0,0.0,0.0
168,168,168,168,62445,B.PROT YEAH BOLO LAR 12X33G PINATI,CX/6,0.44,0.055,0.135,0.115
169,169,169,169,62443,B.PROT YEAH MUFFIN COCO 12X33G PINATI,CX/6,0.44,0.055,0.135,0.115
170,170,170,170,62444,B.PROT YEAH PACOQUINHA 12X33G PINATI,CX/6,0.444,0.055,0.135,0.115
171,171,171,171,60964,B.TAPIOCA S/GLUT CHOC 12X16G KOBBER,CX/8 ,0.2,0.127,0.075,0.11
172,172,172,172,60963,B.TAPIOCA S/GLUT GOIABA 12X16G KOBBER,CX/8 ,0.2,0.127,0.075,0.11
173,173,173,173,60230,B.TIGLIX CHOC BCO 16X32G PROBENE,CX/6 ,0.53,0.11,0.03,0.01
174,174,174,174,60229,B.TIGLIX CHOC LEITE 16X32G PROBENE,CX/6 ,0.032,0.11,0.03,0.013
175,175,175,175,62448,B.VEGAN CRUNCHY CARM/CACAU 10X28G BIO2,,0.336,0.14,0.1,0.14
176,176,176,176,62449,B.VEGAN CRUNCHY CENOUR/CACAU 10X28G BIO2,,0.336,0.14,0.1,0.14
177,177,177,177,61125,BALA DE BANANA ORG 100G SAUDE DA TERRA,CX/12,0.1,0.195,0.12,0.035
178,178,178,178,114,BALA DE GENG PCT C/60G PRODAPYS,FD/10,0.06,0.15,0.1,0.04
179,179,179,179,54155,BALA DE GENG/CRAVO/CAN 60G PRODAPYS,FD/10,0.6,0.15,0.1,0.04
180,180,180,180,55588,BALA DE GENG/MEL DP 350G PRODAPYS,CX/10,0.6,0.15,0.1,0.04
181,181,181,181,113,BALA DE PROP PCT C/60G PRODAPYS,FD/10,0.6,0.15,0.1,0.04
182,182,182,182,54801,BALA DE PROP/EUCALIPTO 60G PRODAPYS,CX/10,0.6,0.15,0.1,0.04
183,183,183,183,62161,BALA HIBISC/CRAMB 12X24G LIVEFIT,CX/4,0.28800000000000003,0.12,0.13,0.14
184,184,184,184,55212,BANANA PASSA 400G BANANA MANIA,CX/30,0.4,0.08,0.11,0.05
185,185,185,185,62108,BANANA PASSA AMEIXA C/CHOC S/LACT 20X27G BANANA MANIA,CX/17,0.56,0.07,0.14,0.13
186,186,186,186,55216,BANANA PASSA AMEIXA COB/CHOC 20X27G BANANA MANIA,CX/17,0.027000000000000003,0.13,0.14,0.07
187,187,187,187,55217,BANANA PASSA C/CHOC LTE LIGHT 20X28G BANANA MANIA,CX/17,0.028,0.13,0.14,0.07
188,188,188,188,59052,BANANA PASSA C/CHOC S/ACUC/LACT 20X28G - BANANA  MANIA,,0.56,0.07,0.14,0.13
189,189,189,189,62114,BANANA PASSA C/CHOC S/LACT 72% CACAU 150G BANANA MANIA,,0.165,0.05,0.12,0.12
190,190,190,190,55218,BANANA PASSA COB/CHOC BCO LIGHT 20X28G BANANA MANIA,CX/17,0.028,0.13,0.14,0.07
191,191,191,191,51163,BANANA PASSA S/ACUC 200G NATBANANA,FD/15,0.2,0.07,0.09,0.04
192,192,192,192,51162,BANANA PASSA S/ACUCAR 100G NATBANANA,FD/30,0.1,0.05,0.085,0.03
193,193,193,193,56982,BANANA Z.ACUC 180G DACOLONIA,CX/20,0.18,0.17,0.12,0.015
194,194,194,194,58851,BANANADA CREMOSA  12X30G F.BELLA,CX/18,0.36,0.05,0.095,0.13
195,195,195,195,58891,BANANADA Z.ACUC 12X30G F.BELLA,CX/18,0.36,0.05,0.1,0.13
196,196,196,196,59406,BANANADA Z.ACUC 2X30G F.BELLA,CX/40,0.06,0.07,0.14,0.035
197,197,197,197,59402,BANANADA Z.ACUC ABXI 2X30G F.BELLA,CX/40,0.06,0.07,0.14,0.035
198,198,198,198,58892,BANANADA Z.ACUC AMEIXA 12X30G F.BELLA,CX/18,0.36,0.05,0.1,0.13
199,199,199,199,59407,BANANADA Z.ACUC AMEIXA 2X30G F.BELLA,CX/40,0.06,0.07,0.14,0.035
200,200,200,200,59196,BANANADA Z.ACUC C/ABXI 12X30G F.BELLA,CX/18,0.36,0.06,0.1,0.13
201,201,201,201,59197,BANANADA Z.ACUC CHIA/LIN 12X30G F.BELLA,CX/18,0.36,0.06,0.1,0.13
202,202,202,202,59198,BANANADA Z.ACUC UVA P 12X30G  F.BELLA,CX/18,0.36,0.06,0.1,0.13
203,203,203,203,59404,BANANADA Z.ACUC UVA P 2X30G F.BELLA,CX/40,0.06,0.07,0.14,0.035
204,204,204,204,59657,BANANADA Z.ACUC WHEY/AMEI 12X28G F.BELLA,CX/18,0.34,0.05,0.1,0.13
205,205,205,205,59656,BANANADA Z.ACUC WHEY/CAN 12X28G F.BELLA,CX/18,0.34,0.05,0.1,0.13
206,206,206,206,61886,BAR BROWNIE 16X25G S/LACT PROBENE,CX/6 ,0.5,0.065,0.105,0.18
207,207,207,207,56227,"BCAA 1,2G - 120TAB MAX TITAN",CX/4,0.12,0.12,0.07,0.07
208,208,208,208,50440,BCAA 120TB 1G DNA,CX/6,0.12,0.125,0.06,0.06
209,209,209,209,61330,BCAA 2:1:1 PRO SERI TANG 210G ATLHETICA,CX/12,0.21,0.12,0.098,0.098
210,210,210,210,56194,BCAA 2400MG 100CAP MAX TITAN,CX/4,0.0,0.12,0.07,0.07
211,211,211,211,57057,BCAA 2400MG 200CAP MAX TITAN,CX/4,0.24,0.14,0.08,0.08
212,212,212,212,60042,BCAA 2400MG 60CAPS MAX TITANIUM,CX/4,0.084,0.1,0.05,0.05
213,213,213,213,59982,BCAA 3000 60TAB MAX TITAN,,0.157,0.12,0.065,0.065
214,214,214,214,60534,BCAA 6.0G SUP PUMP 120TAB 240G PROFIT,,0.24,0.15,0.08,0.26
215,215,215,215,60533,BCAA 6.0G SUP PUMP 60TAB 120G PROFIT,,0.12,0.125,0.065,0.22
216,216,216,216,60535,BCAA 6.1.1 SUP PUMP POW LIM 300G PROFIT,,0.3,0.075,0.09,0.3
217,217,217,217,60536,BCAA 6.1.1 SUP PUMP POW MELA 300G PROFIT,,0.3,0.075,0.09,0.3
218,218,218,218,62298,BCAA AMINO 90CAP INTEG MEDICA,CX/6,0.0,0.0,0.0,0.0
219,219,219,219,60532,BCAA COMPLEX 120CAP 96G PROFIT,,0.096,0.125,0.065,0.22
220,220,220,220,60531,BCAA COMPLEX 60CAP 48G PROFIT,,0.048,0.11,0.055,0.19
221,221,221,221,59415,BCAA DRINK 280G LARANJA MAX TITANIUM,CX/4,0.388,0.12,0.11199999999999999,0.11199999999999999
222,222,222,222,62287,BCAA ZERO FRUT VERM 200G INTEG MEDICA,CX/4,0.312,0.12,0.12,0.115
223,223,223,223,62289,BCAA ZERO GUAR/ACAI 200G INTEG MEDICA,CX/4,0.2,0.12,0.115,0.115
224,224,224,224,61488,BEB AMENDOA S/LACT 1LT A TAL DA CAST,CX/12,1.0,0.21,0.075,0.075
225,225,225,225,61058,BEB CAST CAJU ORIG S/LACT 1LT A TAL DA CAST,CX/12,1.043,0.195,0.07,0.07200000000000001
226,226,226,226,61836,BEB CAST CAJU/AMENDOIM S/LACT 1LT A TAL DA CAST,CX/12,1.04,0.2,0.07,0.07
227,227,227,227,61665,BEB CAST CAJU/CAC S/LACT 330ML A TAL DA CAST,CX/12,0.33,0.0,0.0,0.0
228,228,228,228,61061,BEB CAST CAJU/PARA S/LACT 1LT A TAL DA CAST,CX/12,1.043,0.195,0.07,0.07
229,229,229,229,61059,BEB CAST CHOCON S/LACT 1LT A TAL DA CAST,CX/12,1.043,0.195,0.07,0.07200000000000001
230,230,230,230,52301,BERINJELA 60CAPS 500MG MEDINAL,CX/50,0.056,0.095,0.05,0.05
231,231,231,231,61441,BETA HD EXTREME INTENSE 180G ATLHETICA,,0.18,0.1,0.09,0.09
